[03:43:27] ============================================================
[03:43:27] Grid.gg 完整数据下载器 v2
[03:43:27] 使用二分法版本检测 + 动态查询构建
[03:43:27] 输出目录: /www/wwwroot/AI-Drafting-Assistant/data/grid_v2
[03:43:27] ============================================================
[03:43:27] 共 1632 场比赛，使用 10 个并行线程
[03:44:13] [102/1632] 2821009: OK v3.42 (3g)
[03:44:14] [103/1632] 2825382: OK v3.42 (2g)
[03:44:14] [104/1632] 2821008: OK v3.42 (3g)
[03:44:14] [105/1632] 2821007: OK v3.42 (3g)
[03:44:15] [106/1632] 2825380: OK v3.42 (2g)
[03:44:15] [107/1632] 2825381: OK v3.42 (3g)
[03:44:15] [108/1632] 2821006: OK v3.42 (3g)
[03:44:15] [109/1632] 2825378: OK v3.42 (2g)
[03:44:15] [110/1632] 2821005: OK v3.42 (2g)
[03:44:17] [111/1632] 2821004: OK v3.42 (2g)
[03:44:17] [112/1632] 2825377: OK v3.42 (2g)
[03:44:17] [113/1632] 2825376: OK v3.42 (2g)
[03:44:18] [114/1632] 2825375: OK v3.42 (2g)
[03:44:18] [115/1632] 2833780: OK v3.42 (2g)
[03:44:19] [116/1632] 2833779: OK v3.42 (3g)
[03:44:19] [117/1632] 2825374: OK v3.42 (3g)
[03:44:19] [118/1632] 2825373: OK v3.42 (2g)
[03:44:19] [119/1632] 2833778: OK v3.42 (2g)
[03:44:20] [120/1632] 2825041: OK v3.42 (3g)
[03:44:21] [121/1632] 2825104: OK v3.42 (4g)
[03:44:21] [122/1632] 2825372: OK v3.42 (2g)
[03:44:22] [123/1632] 2833777: OK v3.42 (2g)
[03:44:22] [124/1632] 2825371: OK v3.42 (2g)
[03:44:22] [125/1632] 2821003: OK v3.42 (2g)
[03:44:23] [126/1632] 2821002: OK v3.42 (3g)
[03:44:23] [127/1632] 2833776: OK v3.42 (3g)
[03:44:24] [128/1632] 2825103: OK v3.42 (3g)
[03:44:24] [129/1632] 2842357: OK v3.42 (5g)
[03:44:24] [130/1632] 2833775: OK v3.42 (2g)
[03:44:26] [131/1632] 2825370: OK v3.42 (3g)
[03:44:26] [132/1632] 2821001: OK v3.42 (3g)
[03:44:26] [133/1632] 2825369: OK v3.42 (3g)
[03:44:26] [134/1632] 2825368: OK v3.42 (3g)
[03:44:27] [135/1632] 2821000: OK v3.42 (3g)
[03:44:27] [136/1632] 2825367: OK v3.42 (3g)
[03:44:28] [137/1632] 2825366: OK v3.42 (2g)
[03:44:28] [138/1632] 2820998: OK v3.42 (3g)
