section,key,n,avg_rank,median_rank,avg_percentile,avg_regret,median_regret,top1%,top3%,top5%,top10%,win_rate,unknown_rate
team,48173,295,74.1,92,49.3,0.1079,0.0986,1.4,3.1,3.7,10.2,57.6,0
team,48179,1230,63.7,61,50.2,0.106,0.0917,1.2,3.7,6.3,13.7,54.9,0.73
team,52541,215,51.5,36,54.2,0.0992,0.0846,1.4,7,10.7,20.9,34.9,0.47
team,52573,315,74.2,86,49.2,0.1122,0.0989,1.3,3.2,5.4,10.2,50.8,0.32
team,52606,655,69.3,79,49.9,0.1068,0.0898,0.6,2.6,4.9,10.7,39.7,0
team,52661,640,59.3,48,51.7,0.1074,0.0891,3.1,6.3,10.8,17.5,49.2,0.78
team,52726,470,66.5,74.5,50.2,0.1063,0.0857,0.9,3.6,6,14.7,42.6,0
team,52747,1000,61,57,52.2,0.1016,0.083,1.3,4.7,8.8,15.6,35.5,0.3
team,52796,940,69.9,79,49.7,0.1102,0.0926,0.9,2.6,4,11.2,56.9,0
team,52817,905,60.6,51,52.6,0.102,0.0832,1.9,4.5,8.4,17.2,30.4,0.44
team,52822,970,71.3,82,48.5,0.1088,0.0928,0.7,2.9,4.5,10.5,47.4,0.1
team,52905,840,68.2,64,50.5,0.1078,0.0954,1.4,3.2,4.8,11.3,48.2,0.24
team,52910,745,74.8,90,46.5,0.112,0.0985,1.1,2.6,4.4,9.9,38.9,0
team,53073,465,66.2,59,50.1,0.1088,0.0931,0.9,1.7,5.2,12.9,37.6,0.43
team,53165,630,68.9,75.5,47.9,0.108,0.0917,1.4,2.4,4.9,12.5,55.6,0.79
team,53168,510,58.4,44.5,53.8,0.1044,0.087,3.1,5.9,8.8,17.8,39.2,0.39
team,54284,245,71.9,82,50.2,0.1103,0.0997,0.8,3.3,4.1,10.6,46.9,0
