gameId,side,actual,actualRole,usedRole,primaryRole,fallback,covBefore,covAfter,candidates,candRoleNull,actualScore,bestScore,bestPick,bestIsActual,rank1,rank2,mismatch,actualTop3,bestTop3,actualRoleCov,bestRoleCov,diffCov,actualCF_raw,actualCF_z,actualCF_wz,actualCF_count,bestCF_raw,bestCF_z,bestCF_wz,bestCF_count
2cd7f03d-584d-4b19-9902-7dc600678b28,blue,Nocturne,jungle,jungle,jungle,false,1,1,141,0,0.1951,0.2669,Mordekaiser,false,89,89,false,"opp_meta_sum:0.064,2.06,0.212 | counter_against:0.833,3.08,-0.059 | our_meta_sum:0.014,-1.41,0.030","opp_meta_sum:0.064,2.06,0.212 | our_synergy:0.000,-3.79,0.081 | counter_against:0.833,3.08,-0.059",1,0.5,0.5,0.5357142857142857,0.2372963570840751,0.0020753939390573206,2,0.375,-0.8041186342930088,-0.007032821575526655,1
c37f796e-f3b0-40ce-af33-ea56b85a83bf,red,Skarner,jungle,jungle,top,false,1,1,145,0,-0.1238,-0.0361,Seraphine,false,96,97,true,"opp_meta_sum:0.006,-1.33,-0.136 | our_meta_sum:0.031,-0.37,0.008 | our_synergy:0.483,-0.24,0.005","opp_meta_sum:0.006,-1.33,-0.136 | our_synergy:0.000,-3.79,0.081 | our_meta_sum:0.022,-0.91,0.019",1,1,0,0.5,0.0058708034447231975,0.000051346046927549086,0,0.5,0.0058708034447231975,0.000051346046927549086,0
a92e3c52-92ac-4e64-9c30-ce8993d86a30,blue,Sylas,mid,mid,mid,false,1,1,144,0,0.0842,0.1349,Urgot,false,8,8,false,"our_synergy:0.333,-1.34,0.029 | opp_meta_sum:0.033,0.22,0.022 | our_meta_sum:0.025,-0.78,0.016","our_synergy:0.000,-3.79,0.081 | our_meta_sum:0.020,-1.07,0.023 | opp_meta_sum:0.033,0.22,0.022",1,1,0,0.6428571428571428,0.9315730180021308,0.008147537615446636,2,0.5,0.0058708034447231975,0.000051346046927549086,0
28314138-3a20-447d-b6d0-b0d07f78ba5e,blue,Corki,bot,bot,mid,false,1,1,149,0,-0.079,0.0053,Thresh,false,138,138,false,"opp_meta_sum:0.024,-0.29,-0.030 | counter_against:0.665,1.52,-0.029 | opp_synergy:0.420,-0.91,-0.010","our_synergy:0.250,-1.96,0.042 | our_meta_sum:0.012,-1.55,0.033 | opp_meta_sum:0.024,-0.29,-0.030",1,1,0,0.4594320486815416,-0.25700609318415535,-0.0022477752909886226,2,0.5,0.0058708034447231975,0.000051346046927549086,0
9108b89a-6d46-4e6b-96d0-ec3095310c97,blue,Corki,mid,mid,mid,false,1,1,116,0,0.1809,0.2798,Lillia,false,106,106,false,"opp_meta_sum:0.061,1.89,0.194 | our_synergy:0.630,0.83,-0.018 | counter_against:0.426,-0.67,0.013","opp_meta_sum:0.061,1.89,0.194 | our_synergy:0.000,-3.79,0.081 | counter_for:0.000,-3.23,-0.028",1,1,0,0.4642857142857143,-0.2255547501946287,-0.0019727018452022228,2,0,-3.2340869475062046,-0.028285324442889268,1
35f509c4-0218-45c8-af4d-2a583bdc8eff,red,Azir,mid,mid,mid,false,1,1,146,0,-0.0533,0.0407,Gragas,false,133,133,false,"opp_meta_sum:0.023,-0.37,-0.037 | counter_for:0.304,-1.26,-0.011 | our_meta_sum:0.044,0.38,-0.008","our_synergy:0.200,-2.32,0.050 | opp_meta_sum:0.023,-0.37,-0.037 | our_meta_sum:0.024,-0.85,0.018",1,0.5,0.5,0.30434782608695654,-1.261938751275205,-0.011036916318652943,1,0.7,1.301853903825094,0.011386014242854273,1
762518b3-4a4f-48b5-913e-ba6a6cb303d3,blue,Gwen,top,top,top,false,1,1,144,0,0.0934,0.171,Morgana,false,138,138,false,"opp_meta_sum:0.039,0.58,0.059 | counter_against:0.250,-2.30,0.044 | our_meta_sum:0.011,-1.59,0.033","opp_meta_sum:0.039,0.58,0.059 | counter_against:0.250,-2.30,0.044 | our_meta_sum:0.005,-1.96,0.041",1,0.5,0.5,0.325,-1.1281144093881015,-0.009866488624508335,2,1,3.2458285543956515,0.02838801653674437,1
759540bb-d7da-4f2e-8620-19ee36e326e9,red,Vi,jungle,jungle,jungle,false,1,1,145,0,-0.1331,-0.0252,Diana,false,124,124,false,"opp_meta_sum:0.006,-1.33,-0.136 | our_meta_sum:0.034,-0.22,0.005 | our_synergy:0.522,0.04,-0.001","opp_meta_sum:0.006,-1.33,-0.136 | our_synergy:0.000,-3.79,0.081 | our_meta_sum:0.014,-1.43,0.030",1,1,0,0.5,0.0058708034447231975,0.000051346046927549086,0,0.5,0.0058708034447231975,0.000051346046927549086,0
28596855-04d8-4378-89b0-91c13386961d,blue,Jarvan IV,jungle,jungle,jungle,false,1,1,147,0,-0.096,0.0177,Tahm Kench,false,138,138,false,"opp_meta_sum:0.011,-1.03,-0.106 | our_synergy:0.714,1.46,-0.031 | our_meta_sum:0.013,-1.47,0.031","opp_meta_sum:0.011,-1.03,-0.106 | our_synergy:0.000,-3.79,0.081 | our_meta_sum:0.013,-1.52,0.032",1,1,0,0.5,0.0058708034447231975,0.000051346046927549086,0,0.5,0.0058708034447231975,0.000051346046927549086,0
e38ad594-5389-486e-b861-4ac364c70b68,red,Ziggs,bot,bot,bot,false,1,1,126,0,-0.0344,0.0316,Zeri,false,107,107,false,"opp_meta_sum:0.020,-0.50,-0.051 | our_meta_sum:0.015,-1.37,0.029 | our_synergy:0.625,0.80,-0.017","our_synergy:0.000,-3.79,0.081 | opp_meta_sum:0.020,-0.50,-0.051 | our_meta_sum:0.033,-0.28,0.006",1,1,0,0.6,0.6538623536349086,0.005718680144890911,1,0.42857142857142855,-0.4569803038339809,-0.0039967497373319975,1
