gameId,side,actual,actualRole,usedRole,primaryRole,fallback,covBefore,covAfter,candidates,candRoleNull,actualScore,bestScore,bestPick,bestIsActual,rank1,rank2,mismatch,actualTop3,bestTop3,actualRoleCov,bestRoleCov,diffCov,actualCF_raw,actualCF_z,actualCF_wz,actualCF_count,bestCF_raw,bestCF_z,bestCF_wz,bestCF_count
37b7224b-8d66-4edb-bc00-b93c06dfa83b,blue,Nasus,top,top,top,false,1,1,128,0,-0.0049,0.1873,Annie,false,36,36,false,"opp_meta_sum:0.085,0.86,0.060 | our_synergy:0.430,-0.80,-0.037 | counter_against:0.597,0.79,-0.024","counter_for:0.000,-3.50,0.201 | opp_meta_sum:0.085,0.86,0.060 | our_synergy:0.406,-1.03,-0.047",1,0.5,0.5,0.5,0.03756646347075591,-0.0021555261074885034,0,0,-3.502431978929929,0.2009660445190204,1
3fac43ff-da55-4ae7-bb2c-2b176401bbfc,red,Lee Sin,jungle,jungle,jungle,false,1,1,101,0,0.093,0.1773,Jarvan IV,false,12,12,false,"our_synergy:0.671,1.57,0.072 | opp_synergy:0.596,0.73,-0.028 | counter_for:0.435,-0.43,0.024","our_synergy:0.736,2.21,0.101 | counter_for:0.333,-1.14,0.066 | opp_synergy:0.596,0.73,-0.028",1,1,0,0.43452380952380953,-0.4260047611293337,0.02444372718884004,3,0.3333333333333333,-1.1424330173294726,0.0655516641013478,1
d831b1bc-6170-4f6b-8fd1-512eb9b4153d,blue,Aatrox,top,top,top,false,1,1,81,0,0.0992,0.4017,Lulu,false,75,75,false,"opp_meta_sum:0.127,2.58,0.180 | counter_against:0.222,-2.17,0.066 | our_synergy:0.370,-1.40,-0.064","counter_for:0.000,-3.50,0.201 | opp_meta_sum:0.127,2.58,0.180 | counter_against:0.222,-2.17,0.066",1,0.5,0.5,0.625,0.9225660740709272,-0.05293591876411573,2,0,-3.502431978929929,0.2009660445190204,1
821b77c1-d135-4e87-8137-557e141b1266,blue,Jhin,bot,bot,bot,false,1,1,137,0,0.2353,0.3861,Pyke,false,9,9,false,"counter_for:0.286,-1.48,0.085 | counter_against:0.167,-2.61,0.079 | opp_synergy:0.347,-1.52,0.058","counter_for:0.000,-3.50,0.201 | counter_against:0.167,-2.61,0.079 | opp_synergy:0.347,-1.52,0.058",1,0.5,0.5,0.2857142857142857,-1.479575726129538,0.08489657558958676,1,0,-3.502431978929929,0.2009660445190204,1
7bd88932-2ec8-46cc-93d7-c57d69ae284a,red,Viego,jungle,jungle,jungle,false,1,1,118,0,-0.4076,-0.119,Sivir,false,112,112,false,"counter_against:1.000,3.98,-0.121 | opp_synergy:0.833,2.89,-0.109 | counter_for:0.733,1.69,-0.097","counter_for:0.000,-3.50,0.201 | counter_against:1.000,3.98,-0.121 | opp_synergy:0.833,2.89,-0.109",1,0.5,0.5,0.7333333333333334,1.6895657365910761,-0.09694559239985935,2,0,-3.502431978929929,0.2009660445190204,1
141a99c7-a90b-4428-a5d6-a54a1aaf677d,blue,Skarner,top,top,top,false,1,1,109,0,-0.3537,-0.1507,Pyke,false,60,62,true,"our_synergy:0.200,-3.07,-0.141 | counter_against:1.000,3.98,-0.121 | opp_meta_sum:0.035,-1.18,-0.082","counter_for:0.000,-3.50,0.201 | our_synergy:0.200,-3.07,-0.141 | counter_against:1.000,3.98,-0.121",1,0.5,0.5,0.5,0.03756646347075591,-0.0021555261074885034,0,0,-3.502431978929929,0.2009660445190204,1
41476087-dcf3-4d87-9a21-f3dc1cb5b60f,red,Alistar,support,support,support,false,1,1,141,0,-0.069,0.2058,Orianna,false,125,125,false,"opp_meta_sum:0.046,-0.71,-0.049 | counter_for:0.586,0.64,-0.037 | our_synergy:0.576,0.63,0.029","counter_for:0.000,-3.50,0.201 | our_synergy:0.630,1.17,0.054 | opp_meta_sum:0.046,-0.71,-0.049",1,0.5,0.5,0.5855239855239854,0.6430760145563703,-0.03689905863922997,3,0,-3.502431978929929,0.2009660445190204,2
bbcf30e5-2f54-4ce9-a393-3bcf2ecca045,blue,Ornn,top,top,top,false,1,1,140,0,0.1065,0.3316,Bel'Veth,false,95,95,false,"our_synergy:0.620,1.07,0.049 | opp_meta_sum:0.075,0.46,0.032 | our_meta_sum:0.046,-1.03,0.022","counter_for:0.000,-3.50,0.201 | our_synergy:0.686,1.72,0.079 | opp_meta_sum:0.075,0.46,0.032",1,0.5,0.5,0.46651785714285715,-0.19948700365428992,0.011446364782679502,4,0,-3.502431978929929,0.2009660445190204,1
9bb0ea79-939f-4f69-a23d-a35e476b023c,red,Zyra,jungle,jungle,jungle,false,1,1,112,0,-0.1374,-0.0003,Udyr,false,27,27,false,"opp_meta_sum:0.039,-1.02,-0.071 | our_synergy:0.358,-1.51,-0.069 | opp_synergy:0.701,1.68,-0.064","opp_meta_sum:0.039,-1.02,-0.071 | counter_for:0.333,-1.14,0.066 | opp_synergy:0.701,1.68,-0.064",1,0.5,0.5,0.5,0.03756646347075591,-0.0021555261074885034,0,0.3333333333333333,-1.1424330173294726,0.0655516641013478,1
a40aa5da-0e41-4e15-a573-0dbce107a6eb,red,Ezreal,bot,bot,bot,false,1,1,141,0,-0.1525,0.0729,Milio,false,52,52,false,"opp_meta_sum:0.032,-1.28,-0.089 | opp_synergy:0.649,1.21,-0.046 | our_synergy:0.428,-0.83,-0.038","counter_for:0.000,-3.50,0.201 | opp_meta_sum:0.032,-1.28,-0.089 | opp_synergy:0.649,1.21,-0.046",1,1,0,0.46153846153846156,-0.2347411090216043,0.013469210094550634,2,0,-3.502431978929929,0.2009660445190204,1
