,games_played,win_rate,avg_dpm,avg_damage_pct,avg_forward_pct,avg_kda,avg_kp,avg_dpm_per_gold
Galio,4,0.25,5181.897090671078,21.137390376274908,29.270397027369782,1.9,77.36111111111111,14.310207979360841
Lucian,3,0.3333333333333333,7986.864857262256,28.04930347878052,35.748113496089005,7.75,66.07142857142857,17.84331075893841
Wukong,3,0.6666666666666666,8473.479672887568,31.850827229855724,26.171691085245858,9.666666666666666,77.63157894736842,21.73321542048906
Rakan,4,0.5,435.97758329696353,1.6584497276782595,27.10219338146227,6.479166666666667,80.20833333333334,1.8037069255285831
Ambessa,3,0.6666666666666666,5583.967661029122,20.611807456954285,41.14594685986962,3.861111111111111,61.252012882447666,13.66759105077592
Aatrox,2,0.5,4795.384212236958,19.688658581026296,23.740615416812744,4.0,68.23529411764706,13.233598698713362
Ahri,1,1.0,5904.489474989637,21.88503757367141,42.152480499448224,13.0,76.47058823529412,12.261387526278908
Neeko,4,0.75,927.2371544164762,3.3153596825043667,26.428976367871577,4.2125,82.93544690603514,3.4622904481652568
Jarvan IV,4,0.75,8779.532775579015,32.10698120307746,26.511929725077557,9.6875,89.0185421994885,22.579906222380302
Kai'Sa,4,0.5,6408.2834995933135,24.44237769391633,16.03838722530971,6.25,77.08333333333333,13.736052797428872
Aurora,3,0.0,5653.56772005378,22.516048438700313,20.238060227561643,2.3055555555555554,73.07692307692308,14.462421880739177
Smolder,2,0.5,8073.907191599852,28.986137743947477,31.403769317645306,5.583333333333333,89.13043478260869,16.738343958785023
Xin Zhao,4,0.25,8134.2638158209165,30.940128489797612,16.229928066991572,2.916666666666667,81.1698717948718,23.7806652413721
Bard,2,0.5,528.9328093763952,1.9157606693852727,32.55109194046264,11.5,88.65384615384616,2.0138674346598977
K'Sante,4,0.25,4529.490529777914,17.266519118214678,28.049915119782874,3.84375,53.969860548807915,12.81439905033714
Sion,3,0.6666666666666666,4788.269583052335,17.1405186689969,30.173728484274466,7.333333333333333,53.96825396825397,13.152241609884411
Taliyah,4,1.0,6732.57962312945,22.737930849496173,38.31563333993123,11.25,65.48611111111111,15.577507267717378
Nautilus,2,0.5,514.0750495645852,1.8332598502488748,39.50993950735045,1.5,62.5,2.1799485311096007
Pantheon,2,1.0,8975.79424727345,30.02451602685894,30.722105666517976,11.5,73.80952380952382,23.188989905797982
Sivir,3,0.6666666666666666,7965.048884761611,29.302128375205015,35.704700908200444,6.166666666666667,79.16666666666667,16.92316123786964
Sylas,2,1.0,5468.466458797879,19.268006249886046,40.05755002498902,15.5,75.84541062801932,11.937950763069011
Ezreal,3,0.6666666666666666,6779.193516501201,25.21294108830233,43.29045264183103,9.777777777777779,65.07936507936508,15.482981285461177
Sejuani,1,1.0,8784.745628782326,32.12802468176192,39.13177821434702,13.0,72.22222222222221,22.649553195076717
Karma,3,0.6666666666666666,642.1469700624899,2.3176428952023094,48.283861167321426,9.722222222222221,75.55555555555556,2.4952292445685074
Jax,2,0.5,4542.2529764516585,17.520933853023216,28.570005006839086,4.7,37.5,13.285649300383238
Cho'Gath,1,0.0,3716.9941390124877,15.50955644297582,5.067642498835159,0.5,100.0,11.31359474522293
Azir,3,0.0,4934.229811524924,21.48710719389527,16.631636543013176,0.7277777777777777,76.66666666666667,13.914645804478761
Milio,1,0.0,463.64743612450036,1.9346186222732178,19.83863892120773,0.3333333333333333,50.0,2.207003891050584
Vi,3,0.6666666666666666,8582.075981476168,31.91898811129359,18.52363273149871,4.633333333333334,74.07407407407406,23.32921601364993
Corki,3,0.3333333333333333,6728.5387890814045,26.37822383884705,18.9707087566762,6.5,74.26900584795321,15.88602348492573
