ally_has_adc_core,ally_has_single_core,ally_missing_cc,ally_missing_frontline,execution_difficulty,hero_dpm,hero_damage_pct,hero_forward_pct,hero_kda,hero_kp,hero_dpm_per_gold,stage_early,stage_mid,stage_late,counter_label
0,0,1,1,0.3,6098.522445086769,19.517727658332067,41.30832694936186,9.0,40.909090909090914,14.752314814814817,1,0,0,1
0,0,1,1,0.3,5911.013425140427,20.697022297406804,34.21171925936436,9.9,70.9090909090909,13.413588141373303,1,0,0,1
0,0,1,1,0.3,901.659852665384,3.1800731206051664,26.02650378150916,4.366666666666666,81.16883116883118,3.400919682408846,1,0,0,1
0,0,1,1,0.3,10262.353317069046,32.84366319541922,25.45936684116484,18.0,81.81818181818183,23.3728296403923,1,0,0,1
0,0,1,1,0.3,7353.346308611371,23.533669330758052,20.88475730896065,15.0,68.18181818181817,16.596760259179266,1,0,0,1
0,0,1,0,0.3,6098.522445086769,19.517727658332067,41.30832694936186,9.0,40.909090909090914,14.752314814814817,1,0,0,1
0,0,1,0,0.3,5911.013425140427,20.697022297406804,34.21171925936436,9.9,70.9090909090909,13.413588141373303,1,0,0,1
0,0,1,0,0.3,901.659852665384,3.1800731206051664,26.02650378150916,4.366666666666666,81.16883116883118,3.400919682408846,1,0,0,1
0,0,1,0,0.3,10262.353317069046,32.84366319541922,25.45936684116484,18.0,81.81818181818183,23.3728296403923,1,0,0,1
0,0,1,0,0.3,7353.346308611371,23.533669330758052,20.88475730896065,15.0,68.18181818181817,16.596760259179266,1,0,0,1
1,1,1,0,0.5,6098.522445086769,19.517727658332067,41.30832694936186,9.0,40.909090909090914,14.752314814814817,1,0,0,1
1,1,1,0,0.5,5911.013425140427,20.697022297406804,34.21171925936436,9.9,70.9090909090909,13.413588141373303,1,0,0,1
1,1,1,0,0.5,901.659852665384,3.1800731206051664,26.02650378150916,4.366666666666666,81.16883116883118,3.400919682408846,1,0,0,1
1,1,1,0,0.5,10262.353317069046,32.84366319541922,25.45936684116484,18.0,81.81818181818183,23.3728296403923,1,0,0,1
1,1,1,0,0.5,7353.346308611371,23.533669330758052,20.88475730896065,15.0,68.18181818181817,16.596760259179266,1,0,0,1
1,1,1,0,0.5,6098.522445086769,19.517727658332067,41.30832694936186,9.0,40.909090909090914,14.752314814814817,0,1,0,1
1,1,1,0,0.5,5911.013425140427,20.697022297406804,34.21171925936436,9.9,70.9090909090909,13.413588141373303,0,1,0,1
1,1,1,0,0.5,901.659852665384,3.1800731206051664,26.02650378150916,4.366666666666666,81.16883116883118,3.400919682408846,0,1,0,1
1,1,1,0,0.5,10262.353317069046,32.84366319541922,25.45936684116484,18.0,81.81818181818183,23.3728296403923,0,1,0,1
1,1,1,0,0.5,7353.346308611371,23.533669330758052,20.88475730896065,15.0,68.18181818181817,16.596760259179266,0,1,0,1
