game_id,player_id,player_name,hero_id,hero_name,team_side,won,kills,deaths,damage_dealt,damage_taken,damage_percentage,damage_per_minute,damage_per_money,vision_score,vision_score_per_minute,kda_ratio,kill_participation,kills_and_assists,money_percentage,money_per_minute,total_money_earned,forward_percentage
a7fde219-8e81-44a0-a29c-1638e1fdf41a,23783,Quid,aeab401d-5c3e-38d6-8bb5-fe87f6db1a6f,Galio,blue,False,4,3,157073,23303,22.96603775791887,5300.54223755528,13.975709582703088,34.63206481933594,1.1686841299818707,2.6666666666666665,100.0,8.0,23.00292678933257,379.26820145972755,11239,31.39486134222772
a7fde219-8e81-44a0-a29c-1638e1fdf41a,20579,FBI,2318754b-1f27-3758-a5d7-d221fce0f02e,Lucian,blue,False,1,4,160556,15782,23.475295934122492,5418.0785971677215,14.523383084577114,33.68501281738281,1.1367251737162247,1.25,62.5,5.0,22.626332917169815,373.0589880894464,11055,27.23875788477328
a7fde219-8e81-44a0-a29c-1638e1fdf41a,22660,River,9530371e-3e7d-3e74-a17d-aa5ac56abf85,Wukong,blue,False,0,3,219677,30887,32.11952580358396,7413.1595953437645,23.623722980965695,38.5431022644043,1.3006649234361571,2.0,75.0,6.0,19.03231748500788,313.8014952730676,9299,23.911241468068955
a7fde219-8e81-44a0-a29c-1638e1fdf41a,21380,Eyla,31360e91-4470-348a-9a2b-ce10e9a107b1,Rakan,blue,False,1,3,13872,13456,2.0282599541477566,468.1206949594573,2.114956548254307,100.47530364990236,3.3906119500327847,2.0,75.0,6.0,13.424343519106,221.33820921562,6559,25.71152182806875
a7fde219-8e81-44a0-a29c-1638e1fdf41a,21900,Dhokla,6d94812f-ea1f-3460-80b7-c38518abb709,Ambessa,blue,False,2,4,132758,20544,19.41088055022692,4480.014938107528,12.399178107779957,26.96500015258789,0.9099534754189241,1.25,62.5,5.0,21.914079289383736,361.3154758456538,10707,31.795423863014143
a7fde219-8e81-44a0-a29c-1638e1fdf41a,25068,Boal,e8ec9716-e9de-339a-add1-8dcef41ebdf4,Aatrox,red,True,3,2,152193,29203,19.036117754185135,5135.863100343475,12.92070634179472,21.54355239868164,0.7270027912893838,6.5,76.47058823529412,13.0,19.428637405776307,397.4908928725092,11779,24.583666525792612
a7fde219-8e81-44a0-a29c-1638e1fdf41a,20362,Mireu,d50bfa6a-0179-375a-b583-e23a79a16908,Ahri,red,True,1,0,174970,10908,21.88503757367141,5904.489474989637,12.261387526278908,27.32261848449707,0.9220215652447291,13.0,76.47058823529412,13.0,23.537367839411484,481.5514934451741,14270,42.152480499448224
a7fde219-8e81-44a0-a29c-1638e1fdf41a,22338,Trymbi,64a87acc-1566-3df6-ba47-c9847adb808d,Neeko,red,True,1,4,29751,13149,3.7212193682019676,1003.969059669753,3.6464027454344894,106.6611328125,3.599357238851678,3.75,88.23529411764706,15.0,13.457700364524056,275.33136895719525,8159,27.636394126958848
a7fde219-8e81-44a0-a29c-1638e1fdf41a,24106,Disamis,bbd16ab8-92ed-3f82-8748-b23c20eca335,Jarvan IV,red,True,0,2,245179,32700,30.66669501786125,8273.743070174796,23.6135028411827,43.69148254394531,1.4744007477134282,8.0,94.11764705882352,16.0,17.126032955613834,350.3818609979848,10383,23.234033070324664
a7fde219-8e81-44a0-a29c-1638e1fdf41a,21209,Morttheus,16e85313-6510-315b-83f5-13f437b191c3,Kai'Sa,red,True,12,0,197403,13661,24.69093028608023,6661.50732029136,12.309990022449488,41.99996948242188,1.417319413378556,17.0,100.0,17.0,26.45026143467432,541.1464435099379,16036,24.18777479584986
0ca43b74-4aa6-45c3-8679-0f62c35fbb8a,23783,Quid,2bf2eedb-58ef-39d3-8be6-88508b55ffc3,Aurora,red,False,4,4,216581,20743,25.713322355338004,6586.305607872633,15.934446733372573,38.173885345458984,1.160881495260819,2.25,69.23076923076923,9.0,24.039192798146477,413.3375772676497,13592,14.399572010283922
0ca43b74-4aa6-45c3-8679-0f62c35fbb8a,20579,FBI,84342d87-2ee5-3cfa-8dbb-e2ee7998fa18,Smolder,red,False,6,6,224334,22251,26.63378808511548,6822.077108502128,14.980567612687812,26.20745277404785,0.7969780044129844,2.1666666666666665,100.0,13.0,26.485205426150937,455.3951014996361,14975,16.529226525220462
0ca43b74-4aa6-45c3-8679-0f62c35fbb8a,22660,River,159758c6-e12b-32cc-8b30-a3eec29d655c,Xin Zhao,red,False,1,4,259492,49791,30.807879936981397,7891.244452643978,25.348441926345608,42.25864791870117,1.2851005848530421,2.75,84.61538461538461,11.0,18.10544560584355,311.31082831731385,10237,10.143559109740822
0ca43b74-4aa6-45c3-8679-0f62c35fbb8a,21380,Eyla,2bcecd67-6a8c-3c44-be6a-bd120bc1dcc5,Bard,red,False,1,2,20310,14609,2.4112806619090077,617.6343580272193,2.568610092323258,116.21770477294922,3.534221933965406,6.0,92.3076923076923,12.0,13.984542190622735,240.45469566328032,7907,14.702765198959437
0ca43b74-4aa6-45c3-8679-0f62c35fbb8a,21900,Dhokla,40cc8559-a028-35a5-a6dd-5e48c4601d66,K'Sante,red,False,1,8,121574,39596,14.433728960656115,3697.1087859577133,12.3676500508647,26.664579391479492,0.8108793882088754,0.875,53.84615384615385,7.0,17.385613979236307,298.93381287087965,9830,25.30600757602649
0ca43b74-4aa6-45c3-8679-0f62c35fbb8a,25068,Boal,a88709a3-f874-36e6-acec-9cc31b318a50,Sion,blue,True,3,2,131337,29501,13.665521084027082,3994.0051048853225,11.002513194269918,35.12825012207031,1.0682626397225252,8.0,66.66666666666666,16.0,17.860936962279116,363.0084358331323,11937,38.43251301971085
0ca43b74-4aa6-45c3-8679-0f62c35fbb8a,20362,Mireu,14fada26-63ec-357f-8bf6-e2993edca107,Taliyah,blue,True,6,1,223277,18170,23.23181244491891,6789.933360770234,15.038526301609753,26.352426528930664,0.8013867081071174,15.0,62.5,15.0,22.21507339188724,451.5025757572686,14847,45.69454515950731
0ca43b74-4aa6-45c3-8679-0f62c35fbb8a,22338,Trymbi,5fb5f03b-af85-31e8-a476-bf7f73a4819a,Nautilus,blue,True,1,7,19757,21060,2.055701744802478,600.8174304058972,2.2758898744384286,106.67376708984376,3.2439873783791615,2.0,58.333333333333336,14.0,12.989092214923764,263.9923122616588,8681,54.71270429663135
0ca43b74-4aa6-45c3-8679-0f62c35fbb8a,24106,Disamis,e0e42b0a-7461-3143-b9a9-b70417c2384d,Pantheon,blue,True,8,1,317790,42912,33.0658226188581,9664.107466148203,21.785836703914445,52.45858001708985,1.595284165035687,20.0,83.33333333333334,20.0,21.826044020169675,443.5958828430846,14587,34.177666441853745
0ca43b74-4aa6-45c3-8679-0f62c35fbb8a,21209,Morttheus,5f3ce9cb-be45-3625-8c1d-e8068d6fee76,Sivir,blue,True,6,2,268922,17720,27.98114210739343,8178.014122569959,16.02538585304809,41.00738906860352,1.2470493560688996,10.5,87.5,21.0,25.1088534107402,510.31620689585264,16781,41.73822647958175
1eab7b7b-e4f5-4b50-ae3b-9e4c8b55ff5c,23783,Quid,6b28be83-b1f2-3f1b-b887-85f87e172511,Sylas,blue,True,4,0,183737,22985,21.971670981590325,6007.700209535072,13.740427759497457,30.30821228027344,0.9909961154630379,14.0,77.77777777777779,14.0,22.65020241543439,437.22803355830877,13372,37.53233624793258
1eab7b7b-e4f5-4b50-ae3b-9e4c8b55ff5c,20579,FBI,3a52e342-5377-32b9-935f-b54a66688acd,Ezreal,blue,True,8,1,231204,16205,27.64787831317377,7559.742018457615,16.091592427616927,27.764707565307617,0.9078304285896611,9.0,50.0,9.0,24.337280010840658,469.7945248403964,14368,56.292019411285466
1eab7b7b-e4f5-4b50-ae3b-9e4c8b55ff5c,22660,River,8092e614-e064-36f3-87b7-0c5ac018d7cc,Sejuani,blue,True,2,0,268669,39405,32.12802468176192,8784.745628782326,22.649553195076717,46.95881271362305,1.535425466722279,13.0,72.22222222222221,13.0,20.092484374206006,387.85514014871814,11862,39.13177821434702
